topic,pmid,label,verdict,eligibility,weakest,design,intervention,population
CD006715,22900930,0,exclude,0.1,design,0.1,0.16,0.96
CD006715,29703025,0,exclude,0.01,design,0.01,0.09,0.02
CD006715,24782823,0,exclude,0.01,intervention,0.07,0.01,0.37
CD006715,26929803,0,exclude,0.01,population,0.88,0.01,0.01
CD006715,26254464,0,exclude,0.05,intervention,0.97,0.05,0.14
CD006715,24499533,0,exclude,0.01,design,0.01,0.01,0.01
CD006715,26384505,0,exclude,0.02,design,0.02,0.07,0.93
CD006715,29698654,0,exclude,0.01,population,0.02,0.98,0.01
CD006715,27390640,0,exclude,0.02,design,0.02,0.35,0.84
CD006715,27165732,0,exclude,0.01,population,0.02,0.05,0.01
CD006715,28409823,0,exclude,0.0,intervention,0.03,0.0,0.01
CD006715,26487457,0,exclude,0.0,intervention,0.01,0.0,0.17
CD006715,29926477,0,exclude,0.1,population,0.14,0.9,0.1
CD006715,24506826,0,exclude,0.02,design,0.02,0.23,0.02
CD006715,28342655,0,exclude,0.01,design,0.01,0.01,0.03
CD006715,22770758,1,exclude,0.16,intervention,0.98,0.16,0.98
CD006715,22219442,0,exclude,0.02,design,0.02,0.15,0.02
CD006715,28043447,0,exclude,0.01,intervention,0.13,0.01,0.11
CD006715,26139745,1,exclude,0.19,intervention,0.96,0.19,0.96
CD006715,25861242,0,exclude,0.02,design,0.02,0.07,0.21
CD006715,22002277,0,exclude,0.01,population,0.19,0.07,0.01
CD006715,27630133,0,exclude,0.02,intervention,0.08,0.02,0.04
CD006715,23312824,0,exclude,0.0,intervention,0.01,0.0,0.66
CD006715,29183368,0,exclude,0.01,design,0.01,0.17,0.3
CD006715,29694674,0,exclude,0.09,population,0.14,0.91,0.09
CD006715,22436549,1,exclude,0.09,design,0.09,0.13,0.28
CD006715,26106965,0,exclude,0.01,population,0.08,0.03,0.01
CD006715,24966147,0,exclude,0.02,intervention,0.98,0.02,0.03
CD006715,26894155,0,exclude,0.02,population,0.98,0.07,0.02
CD006715,22397329,0,exclude,0.01,intervention,0.11,0.01,0.42
CD006715,25113260,0,exclude,0.01,design,0.01,0.01,0.03
CD006715,24279592,0,exclude,0.04,population,0.95,0.09,0.04
CD006715,22404668,0,exclude,0.01,intervention,0.85,0.01,0.02
CD006715,25886332,0,exclude,0.01,population,0.97,0.02,0.01
CD006715,25238422,0,exclude,0.02,design,0.02,0.75,0.24
CD006715,20980159,0,exclude,0.01,design,0.01,0.04,0.01
CD006715,27130717,0,exclude,0.02,population,0.99,0.05,0.02
CD006715,22762307,1,exclude,0.22,intervention,0.98,0.22,0.98
CD006715,27043787,0,exclude,0.02,design,0.02,0.97,0.02
CD006715,25201463,0,exclude,0.01,population,0.99,0.01,0.01
CD006715,23041682,1,exclude,0.01,population,0.98,0.98,0.01
CD006715,26983752,0,exclude,0.0,intervention,0.01,0.0,0.01
CD006715,27621865,0,exclude,0.03,population,0.98,0.99,0.03
CD006715,24032080,0,exclude,0.01,population,0.99,0.14,0.01
CD006715,26341878,0,exclude,0.01,population,0.99,0.05,0.01
CD006715,25918718,1,include,0.97,design,0.97,0.98,0.97
CD006715,27412465,0,exclude,0.02,population,0.99,0.02,0.02
CD006715,27275050,0,exclude,0.01,population,0.98,0.04,0.01
CD006715,25187783,0,exclude,0.01,design,0.01,0.01,0.02
CD006715,24534303,0,exclude,0.2,intervention,0.98,0.2,0.97
CD006715,22008919,0,exclude,0.03,population,0.97,0.08,0.03
CD006715,26336393,0,exclude,0.01,design,0.01,0.07,0.02
CD006715,27366446,0,exclude,0.01,design,0.01,0.14,0.05
CD006715,24678150,0,exclude,0.01,design,0.01,0.01,0.04
CD006715,26507422,0,exclude,0.03,design,0.03,0.99,0.03
CD006715,25281046,0,exclude,0.02,design,0.02,0.02,0.03
CD006715,26742731,0,exclude,0.01,design,0.01,0.02,0.02
CD006715,26071592,0,exclude,0.02,intervention,0.99,0.02,0.11
CD006715,22770692,1,include,0.72,intervention,0.98,0.72,0.98
CD006715,21835638,1,exclude,0.07,intervention,0.97,0.07,0.96
CD006715,29088950,0,exclude,0.01,intervention,0.02,0.01,0.07
CD006715,24382615,0,exclude,0.01,design,0.01,0.01,0.02
CD006715,28235533,0,exclude,0.01,population,0.99,0.04,0.01
CD006715,27535287,0,exclude,0.01,design,0.01,0.01,0.07
CD006715,27242357,0,exclude,0.06,design,0.06,0.96,0.51
CD006715,21691758,0,exclude,0.01,design,0.01,0.13,0.12
CD006715,22643657,0,exclude,0.06,population,0.46,0.97,0.06
CD006715,24685375,0,exclude,0.0,intervention,0.01,0.0,0.71
CD006715,27631213,0,exclude,0.01,design,0.01,0.02,0.01
CD006715,22379904,0,exclude,0.16,design,0.16,0.26,0.36
CD006715,22572234,0,exclude,0.02,population,0.97,0.98,0.02
CD006715,26336414,0,exclude,0.03,population,0.21,0.1,0.03
CD006715,25977992,0,exclude,0.02,population,0.99,0.04,0.02
CD006715,26030214,0,exclude,0.01,intervention,0.02,0.01,0.02
CD006715,23531633,1,exclude,0.21,intervention,0.98,0.21,0.98
CD006715,24485778,0,exclude,0.01,intervention,0.65,0.01,0.02
CD006715,29205995,0,exclude,0.01,design,0.01,0.01,0.09
CD006715,26846184,0,exclude,0.01,intervention,0.03,0.01,0.02
CD006715,23440670,0,exclude,0.07,design,0.07,0.16,0.72
CD006715,25825628,0,exclude,0.01,design,0.01,0.01,0.01
CD006715,23461638,1,include,0.66,intervention,0.98,0.66,0.97
CD006715,23539525,0,exclude,0.01,population,0.08,0.01,0.01
CD006715,24183908,0,exclude,0.06,population,0.98,0.99,0.06
CD006715,29019803,0,exclude,0.01,intervention,0.02,0.01,0.04
CD006715,25417134,0,exclude,0.02,design,0.02,0.99,0.03
CD006715,25010820,0,exclude,0.01,intervention,0.99,0.01,0.02
CD006715,23357523,1,exclude,0.05,intervention,0.99,0.05,0.97
CD006715,23668669,0,exclude,0.04,population,0.06,0.99,0.04
CD006715,29221974,0,exclude,0.01,design,0.01,0.27,0.02
CD006715,21377888,0,exclude,0.04,population,0.99,0.05,0.04
CD006715,24574444,0,exclude,0.02,population,0.99,0.02,0.02
CD006715,24216528,0,exclude,0.04,design,0.04,0.37,0.11
CD006715,28632556,0,exclude,0.01,design,0.01,0.01,0.01
CD006715,25831695,0,exclude,0.02,population,0.03,0.98,0.02
CD006715,29622010,0,exclude,0.01,population,0.3,0.01,0.01
CD006715,21560028,0,exclude,0.28,design,0.28,0.55,0.35
CD006715,30011792,0,exclude,0.01,design,0.01,0.01,0.01
CD006715,23789281,0,exclude,0.11,intervention,0.96,0.11,0.9
CD006715,22104684,0,exclude,0.01,design,0.01,0.08,0.01
CD006715,22379905,0,exclude,0.04,intervention,0.96,0.04,0.94
CD006715,24228013,0,exclude,0.01,design,0.01,0.02,0.01
CD006715,24184996,0,exclude,0.02,intervention,0.98,0.02,0.03
CD006715,26166292,0,exclude,0.01,population,0.07,0.04,0.01
CD006715,27581316,0,exclude,0.01,intervention,0.02,0.01,0.02
CD006715,23475590,0,exclude,0.01,design,0.01,0.01,0.87
CD006715,27182242,0,exclude,0.01,population,0.96,0.95,0.01
CD006715,22974957,0,exclude,0.01,population,0.27,0.03,0.01
CD006715,28455211,0,exclude,0.01,population,0.96,0.94,0.01
CD006715,24492175,0,exclude,0.01,design,0.01,0.02,0.02
CD006715,26714677,0,exclude,0.01,design,0.01,0.01,0.02
CD006715,24957190,0,exclude,0.01,design,0.01,0.37,0.02
CD006715,28427873,0,exclude,0.01,design,0.01,0.28,0.02
CD006715,22356414,0,exclude,0.01,population,0.9,0.22,0.01
CD006715,28074788,0,exclude,0.01,intervention,0.98,0.01,0.8
CD006715,27225610,0,exclude,0.04,population,0.99,0.99,0.04
CD006715,25239363,0,exclude,0.01,design,0.01,0.15,0.08
CD006715,21955825,0,manual,0.0,,nan,nan,nan
CD006715,27750477,0,manual,0.0,,nan,nan,nan
CD006715,23601750,0,manual,0.0,,nan,nan,nan
